major_description,minor_description,item,description,size_,ext_description,Vendor SKU
Decking-Composite,Decking Accessories,azkdarbctf12,Azek Arbor-Fascia Autumn Chestnut 12',1/2x12-12',Azek Arbor,
Decking-Composite,Decking Accessories,azkfdcbs100sf,Cortex Set-Brownstone 100 Sq. Ft.,,Azek,
Decking-Composite,Decking Accessories,azkfdccbs100sf,Collated Cortex Set-Brownstone 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdccbs300sf,Collated Cortex Set-Brownstone 300 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdcccs100sf,Collated Cortex Set-Coastline 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdcccs300sf,Collated Cortex Set-Coastline 300 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdcccy100sf,Collated Cortex Set-Vint. Cypress 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdcccy300sf,Collated Cortex Set-Vin. Cypress 300 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdccdh100sf,Collated Cortex Set-Dark Hickory 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdccdh300sf,Collated Cortex Set-Dark Hickory 300 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdccew100sf,Collated Cortex Set-Eng. Walnut 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdccmh100sf,Collated Cortex Set-Mahogany 100 Sq. Ft.,,Azek,
Decking-Composite,Decking Accessories,azkfdccmh300sf,Collated Cortex Set-Mahogany 300 Sq. Ft.,,Azek,
Decking-Composite,Decking Accessories,azkfdccsg100sf,Collated Cortex Set-Slate Gray 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdccsg300SF,Collated Cortex Set-Slate Gray 300 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdccwt100sf,Collated Cortex Set-Weath.Teak 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdccwt100sf-P,Collated Cortex Set-Weath.Teak 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdccwt300sf,Collated Cortex Set-Weath.Teak 300 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdcko300sf,Cortex Set-Kona 300 Sq. Ft.,,Azek,
Decking-Composite,Decking Accessories,azkfdclcbs100sf,Cortex Set (Cladding)-Brownstone 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdclccy100sf,Cortex Set (Cladding)-Cypress 100 Sq. Ft,,Azek,
Decking-Composite,Decking Accessories,azkfdclcko100sf,Cortex Set (Cladding)-Kona 100 Sq. Ft.,,Azek,
Decking-Composite,Decking Accessories,azkfdclcmh100sf,Cortex Set (Cladding)-Mahogany 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdclcsg100sf,Cortex Set (Cladding)-Slate Gray 100 SF,,Azek,
Decking-Composite,Decking Accessories,azkfdclcwt100sf,Cortex Set (Cladding)-Weath. Teak 100SF,,Azek,
Decking-Composite,Decking Accessories,azkfdcsg100sf,Cortex Set-Slate Gray 100 Sq. Ft.,,Azek,
Decking-Composite,Decking Accessories,azkfdtlbr100sf,TopLoc-Brown 100 Sq. Ft.,"#8 x 2-1/2""",Azek,
Decking-Composite,Decking Accessories,azkfdtlbr300sf,TopLoc-Brown 300 Sq. Ft.,"#8 x 2-1/2""",Azek,
Decking-Composite,Decking Accessories,azkfdtldb100sf,TopLoc-Dark Brown 100 Sq. Ft.,"#8 x 2-1/2""",Azek,
Decking-Composite,Decking Accessories,azkfdtldb300sf,TopLoc-Dark Brown 300 Sq. Ft.,"#8 x 2-1/2""",Azek,
Decking-Composite,Decking Accessories,azkfdtldg100sf,TopLoc-Dark Gray 100 Sq. Ft.,"#8 x 2-1/2""",Azek,
Decking-Composite,Decking Accessories,azkfdtldg300sf,TopLoc-Dark Gray 300 Sq. Ft.,"#8 x 2-1/2""",Azek,
Decking-Composite,Decking Accessories,azkfdtlfbr30lf,TopLoc Fascia-Brown 30 LF,"#8 x 1-3/4""",Azek,
Decking-Composite,Decking Accessories,azkfdtlfbrn30lf,TopLoc Fascia- Brown 30 LF,"#8 x 1-5/8""  mfr#91679","100 cnt, Azek",
Decking-Composite,Decking Accessories,azkfdtlfdb30lf,TopLoc Fascia-Dark Brown 30 LF,"#8 x 1-5/8""",Azek,
Decking-Composite,Decking Accessories,azkfdtlfdg30lf,TopLoc Fascia-Dark Gray 30 LF (100 each),"#8 x 1-5/8""",Azek/PVC,
Decking-Composite,Decking Accessories,azkfdtlflb30lf,TopLoc Fascia-Light Brown 30 LF,"#8 x 1-3/4""",Azek,
